,Stock1,Stock2,Pvalue,Category
212,ZBRA,YNDX,0.3206009207976094,0
213,ZM,ZBRA,0.9736444485993844,0
214,ZI,ZM,0.4810976568731481,0
215,ZS,ZI,0.9275624513428999,0
216,ZNGA,ZS,0.7899143274850402,0
217,VNET,ZS,0.366320237576955,0
218,TWOU,ZNGA,0.1727542225356578,0
219,JOBS,VNET,0.5232541411766293,0
220,EGHT,TWOU,0.15095414412940533,0
221,ACIA,JOBS,0.04917653020192573,0
222,ACIW,EGHT,0.6310590656126541,0
223,ACMR,ACIA,0.06436032058662851,0
224,ATVI,ACIW,0.18443906580182,0
225,ADBE,ACMR,0.9869006998490031,0
226,AMD,ATVI,0.43744233284362666,0
227,API,ADBE,1.0,-3
228,ALRM,AMD,0.19111898261939153,0
229,MDRX,API,1.0,-3
230,GOOG,ALRM,0.9655770618444841,0
231,GOOGL,MDRX,0.9550259211799313,0
232,ALTR,GOOG,0.15102242296872692,0
233,AMBA,GOOGL,0.3411051191819612,0
234,DOX,ALTR,0.3905767473239297,0
235,AMKR,AMBA,0.24190375282125987,0
236,ADI,DOX,0.4032541401215251,0
237,ANSS,AMKR,0.8386019127717332,0
238,APPF,ADI,0.17037280543681316,0
239,APPN,ANSS,0.06961429046018763,0
240,AAPL,APPF,0.42019601050809213,0
241,AMAT,APPN,0.13947222851178998,0
242,ASML,AAPL,0.36513804904302494,0
243,AZPN,AMAT,0.9128836920784071,0
244,TEAM,ASML,0.8648090941233977,0
245,ADSK,AZPN,0.055669126578637006,0
246,ADP,TEAM,0.527154395712812,0
247,AVT,ADSK,0.5696475442741711,0
248,BIDU,ADP,0.4615981765003975,0
249,BAND,AVT,0.6105011848805653,0
250,BIGC,BIDU,0.5466924899118871,0
251,BILI,BAND,0.16650121438989324,0
252,BLKB,BIGC,0.3771265893399439,0
253,BL,BILI,0.7931392583856923,0
254,EPAY,BLKB,0.69013571670573,0
255,AVGO,BL,0.9630969021091139,0
256,BRKS,EPAY,0.4586235626225832,0
257,CCMP,AVGO,0.7847745957866213,0
258,CDNS,BRKS,0.24699902331746526,0
259,CSIQ,CCMP,1.0,0
260,CDLX,CDNS,0.5225163103129551,0
261,CARG,CSIQ,0.620056844225969,0
262,CRNC,CDLX,0.44708711403441176,0
263,CERN,CARG,0.06414745672967387,0
264,CHNG,CRNC,0.8922309785458695,0
265,CHKP,CERN,0.2134469904272303,0
266,CRUS,CHNG,0.4641232914912797,0
267,CSCO,CHKP,0.10295963243986478,0
268,CTXS,CRUS,0.5045845583010612,0
269,CTSH,CSCO,0.5106871333344595,0
270,COMM,CTXS,0.7477925369283349,0
271,CVLT,CTSH,0.03444933632666791,0
272,CSOD,COMM,0.1908076139967857,0
273,COUP,CVLT,0.764615751443662,0
274,CREE,CSOD,0.8053165841416784,0
275,CRWD,COUP,0.5478030050102743,0
276,CSGS,CREE,0.7076469788679195,0
277,CYBR,CRWD,0.7470915051504065,0
278,DADA,CSGS,0.5376853452662892,0
279,DDOG,CYBR,0.25889691958146205,0
280,DIOD,DADA,0.3743469734689642,0
281,DOCU,DDOG,0.8019096143709816,0
282,DOMO,DIOD,0.2263500973085455,0
283,DOYU,DOCU,0.8896743089598533,0
284,DBX,DOMO,0.6719289069413911,0
285,DCT,DOYU,0.19263121055220628,0
286,SATS,DBX,0.6656566215691324,0
287,EA,DCT,0.22893105195086394,0
288,ENPH,SATS,0.579652760323317,0
289,PLUS,EA,0.2860833561349898,0
290,ERIC,ENPH,0.008622142398530841,1
291,EVBG,PLUS,0.8223926144623945,0
292,FFIV,ERIC,0.8893073006676044,0
293,FB,EVBG,0.9759322387207146,0
294,FEYE,FFIV,0.37393148235329343,0
295,FSLR,FB,0.35862710526971386,0
296,FISV,FEYE,0.12962373684630918,0
297,FIVN,FSLR,0.5528781044673122,0
298,FLEX,FISV,0.7662840908904545,0
299,FORM,FIVN,0.452309577752255,0
300,FORTY,FLEX,1.0,-3
301,FTNT,FORM,0.28367722164193954,0
302,GDS,FORTY,1.0,-3
303,GLUU,FTNT,0.15922092908118723,0
304,HHR,GDS,0.17763354104857232,0
305,HCAT,GLUU,0.8129136835676134,0
306,INFO,HHR,0.07888043742873102,0
307,INOV,HCAT,0.3583849572986475,0
308,INTC,INFO,0.5089481610210435,0
309,INTU,INOV,0.9854906447600787,0
310,IPGP,INTC,0.9033753936963279,0
311,JCOM,INTU,0.8363017017994087,0
312,JKHY,IPGP,0.8569007056028103,0
313,JAMF,JCOM,2.3821172751763003e-05,1
314,YY,JKHY,0.5088340914050643,0
315,KELYB,JAMF,1.5237924560668329e-05,1
316,KC,YY,0.340652493955072,0
317,KLIC,KELYB,0.30384739476405564,0
318,LRCX,KC,0.7664372526453436,0
319,LSCC,KLIC,0.411319664689919,0
320,LTRPB,LRCX,0.040376192405361576,0
321,LECO,LSCC,0.24283685552386153,0
322,LPSN,LTRPB,0.6825515137966625,0
323,LVGO,LECO,0.6268235837470695,0
324,LOGI,LPSN,0.03756592055569216,0
325,LOGM,LVGO,0.8067279336482132,0
326,MTSI,LOGI,0.7449710537748512,0
327,MANH,LOGM,0.30437842814398786,0
328,MRVL,MTSI,0.9916811509708722,0
329,MTCH,MANH,0.2879007209669818,0
330,MTLS,MRVL,0.9752599946216765,0
331,MXIM,MTCH,0.01275613274651488,0
332,MGRC,MTLS,0.684281361480686,0
333,MCHP,MXIM,0.8954184288006455,0
334,MU,MGRC,0.11931710845157029,0
335,MSFT,MCHP,0.5357597583683756,0
336,MSTR,MU,0.011836065797208865,0
337,MIME,MSFT,0.14149930699841318,0
338,MOMO,MSTR,0.11633368718849701,0
339,MDB,MIME,0.1923399088610651,0
340,MPWR,MOMO,0.25363502744692085,0
341,NATI,MDB,0.2099367531253986,0
342,NCNO,MPWR,0.746537528107092,0
343,NTAP,NATI,0.41616728348227616,0
344,NTCT,NCNO,0.19836985360970288,0
345,NICE,NTAP,0.9554244620725608,0
346,NLOK,NTCT,0.013347928908984768,0
347,NUAN,NICE,0.06670612195344643,0
348,NTNX,NLOK,0.9539923930445898,0
349,NVDA,NUAN,0.5433529465339008,0
350,NXPI,NTNX,0.562319755546884,0
351,OKTA,NVDA,0.472592716302569,0
352,OMCL,NXPI,0.24337121649951687,0
353,ON,OKTA,0.0927624041957395,0
354,OTEX,OMCL,0.23247526831381043,0
355,OPRA,ON,0.7427913356785077,0
356,OSIS,OTEX,0.9183248515494443,0
